CustomerID ,Max Order Date,Count Order ID,AVG sales,Recency,Frequency,Monetary
BE-11455,42983,10,74.8026,0,3,1
BF-10975,43373,13,46.13830769,4,5,0
BF-11005,43425,10,133.388,6,3,3
BF-11020,43390,21,137.5479048,5,8,3
BF-11080,43439,6,45.49166667,8,1,0
BF-11170,43448,27,218.8137778,8,9,6
BF-11215,43399,8,198.14525,5,2,5
BF-11275,43407,4,197.9975,5,0,5
BG-11035,43436,12,233.2456667,7,5,6
BG-11695,43428,8,234.2715,7,2,6
BG-11740,43407,7,143.7651429,5,1,3
BH-11710,43441,24,260.639625,8,9,7
BK-11260,43387,16,41.196125,4,7,0
BM-11140,43157,16,736.851875,1,7,9
BM-11575,43364,10,80.8162,4,3,1
BM-11650,43431,29,251.5236207,7,9,6
BM-11785,43246,14,95.63157143,2,6,1
BN-11470,43440,6,44.216,8,1,0
BN-11515,43455,17,85.84376471,9,7,1
BO-11350,43327,12,223.5606667,3,5,6
BO-11425,43389,2,65.415,5,0,0
BP-11050,43381,7,140.4885714,4,1,3
BP-11095,43447,20,122.1022,8,8,2
BP-11155,43375,11,154.351,4,4,3
BP-11185,43463,18,204.2145,9,8,5
BP-11230,43425,6,196.915,6,1,5
BP-11290,43452,16,154.6973125,8,7,3
BS-11365,42906,9,1166.850333,0,2,9
BS-11380,43436,13,299.0641538,7,5,7
BS-11590,43429,10,245.4928,7,3,6
BS-11665,42882,11,298.9190909,0,4,7
BS-11755,43463,14,183.0272857,9,6,4
BS-11800,43199,8,118.67875,1,2,2
BT-11305,43128,9,285.2951111,1,2,7
BT-11395,43162,10,218.6613,1,3,6
BT-11440,42904,7,86.268,0,1,1
BT-11485,42805,3,138.3986667,0,0,3
BT-11530,43373,10,268.4492,4,3,7
BT-11680,43444,20,159.8376,8,8,4
BV-11245,43130,14,108.8052143,1,6,2
BW-11065,43252,3,128.5053333,2,0,3
BW-11110,43343,17,279.4328235,3,7,7
BW-11200,43261,10,173.8406,2,3,4
CA-11965,43368,10,378.97228,4,3,8
CA-12055,43063,10,167.9724,1,3,4
CA-12265,43408,16,164.89545,5,7,4
CA-12310,43451,11,129.2685455,8,4,3
CA-12775,43344,17,178.9156471,3,7,4
CB-12025,43417,22,260.4849545,6,9,7
CB-12415,43438,12,162.4333333,7,5,4
CB-12535,43267,19,223.4976579,2,8,6
CC-12100,43007,12,140.49075,0,5,3
CC-12145,43358,11,224.6954545,3,4,6
CC-12220,43444,21,174.7741905,8,8,4
CC-12370,43421,11,1102.642909,6,4,9
CC-12430,43464,19,151.0552632,9,8,3
CC-12475,43425,13,127.6490769,6,5,3
CC-12550,43437,4,28.458,7,0,0
CC-12610,43430,12,211.71925,7,5,5
CC-12670,43435,14,162.1215357,7,6,4
CC-12685,42666,12,237.8429167,0,5,6
CD-11920,43424,9,225.9964444,6,2,6
CD-11980,43410,6,106.6276667,5,1,2
CD-12280,43422,13,92.73723077,6,5,1
CD-12790,43065,15,124.0488,1,6,2
CG-12040,43415,9,100.4964444,6,2,1
CG-12520,43126,5,229.756,1,0,6
CH-12070,42774,4,384.309,0,0,8
CJ-11875,43099,1,16.52,1,0,0
CJ-12010,43275,20,558.2487,2,8,9
CK-12205,43425,32,98.58921875,6,9,1
CK-12325,43344,12,245.4434167,3,5,6
CK-12595,43421,25,94.91,6,9,1
CK-12760,43382,14,113.0077857,4,6,2
CL-11890,43358,7,180.2877143,3,1,4
CL-12565,43180,28,388.5909286,1,9,8
CL-12700,43204,7,333.6551429,1,1,8
CM-11815,43333,10,167.3888,3,3,4
CM-11935,42757,4,141.348,0,0,3
CM-12115,43456,7,237.3728571,9,1,6
CM-12160,43438,7,361.902,7,1,8
CM-12190,43456,7,210.7348571,9,1,5
CM-12235,43079,8,288.214,1,2,7
CM-12385,43427,10,895.402,6,3,9
CM-12445,43028,9,31.99888889,0,2,0
CM-12655,43437,8,736.3135,7,2,9
CM-12715,42430,13,306.4963385,0,5,7
Co-12640,42915,8,162.5095,0,2,4
CP-12085,43382,14,385.8752857,4,6,8
CP-12340,43304,14,415.5133571,2,6,9
CR-12580,43407,6,358.142,5,1,8
CR-12625,42994,4,118.975,0,0,2
CR-12730,43386,6,266.7583333,4,1,7
CR-12820,43379,7,199.6960571,4,1,5
CS-11845,43373,8,159.86925,4,2,4
CS-11860,43302,7,76.80457143,2,1,1
CS-11950,43439,22,138.0248636,8,9,3
CS-12130,42975,7,126.3771429,0,1,2
CS-12175,43232,8,105.55725,1,2,2
CS-12250,43438,28,98.36485714,7,9,1
CS-12355,43458,22,145.5528182,9,9,3
CS-12400,43462,14,260.8470357,9,6,7
CS-12460,43437,6,91.774,7,1,1
CS-12490,43040,8,121.2638125,0,2,2
CS-12505,43406,9,632.2283333,5,2,9
CT-11995,43368,18,180.1054444,4,8,4
CV-12295,43210,13,217.7406154,1,5,6
CV-12805,43459,19,124.7533474,9,8,2
CW-11905,43442,11,103.3265455,8,4,2
CY-12745,43404,10,200.4082,5,3,5
DA-13450,43112,8,19.595,1,2,0
DB-12910,43443,12,180.9665833,8,5,4
DB-12970,43223,10,246.96672,1,3,6
DB-13060,43448,10,415.151,8,3,9
DB-13120,43416,14,212.3638571,6,6,5
DB-13210,43455,21,111.0750952,9,8,2
DB-13270,43411,13,358.1459231,6,5,8
DB-13360,43200,6,180.2443333,1,1,4
DB-13405,43277,14,122.2637143,2,6,2
DB-13555,43357,14,279.2002,3,6,7
DB-13615,43431,11,180.8227273,7,4,4
DB-13660,43452,10,115.5202,8,3,2
DC-12850,43427,18,185.3426667,6,8,5
DC-13285,43441,7,167.8025714,8,1,4
DD-13570,43423,9,29.94911111,6,2,0
DE-13255,42746,9,283.4304444,0,2,7
DF-13135,42765,6,398.4223333,0,1,8
DG-13300,43432,8,399.47725,7,2,8
DH-13075,43187,18,193.7332222,1,8,5
DH-13675,42689,11,94.82690909,0,4,1
DJ-13420,42827,5,402.504,0,0,8
DJ-13510,43416,13,192.4375385,6,5,5
DJ-13630,43452,8,419.54975,8,2,9
DK-12835,43443,27,120.6103704,8,9,2
DK-12895,43419,15,285.4784,6,6,7
DK-12985,43457,8,210.88,9,2,5
DK-13090,43422,13,203.889,6,5,5
DK-13150,43454,5,159.5664,9,0,4
DK-13225,43454,19,252.7575789,9,8,6
DK-13375,43445,23,144.282,8,9,3
DL-12865,43364,7,63.432,4,1,0
DL-12925,43407,14,233.7285714,5,6,6
DL-13315,43442,17,85.77988235,8,7,1
DL-13330,43407,8,73.1275,5,2,1
DL-13495,43388,12,294.9435,4,5,7
Dl-13600,43345,6,125.9336667,3,1,2
DM-12955,43350,9,146.8926667,3,2,3
DM-13015,43407,20,317.25515,5,8,7
DM-13345,43442,13,313.4209231,8,5,7
DM-13525,42983,10,137.6792,0,3,3
DN-13690,43247,11,194.5263636,2,4,5
DO-13435,43331,13,100.0024231,3,5,1
DO-13645,43438,11,115.2105455,7,4,2
DP-13000,43338,15,59.83493333,3,6,0
DP-13105,43458,14,158.2144286,9,6,4
DP-13165,42653,4,264.654,0,0,7
Dp-13240,43380,29,248.2331379,4,9,6
DP-13390,43106,14,391.4802857,1,6,8
DR-12880,43461,24,272.0014167,9,9,7
DR-12940,43414,13,642.3744615,6,5,9
DS-13030,43371,19,92.74805263,4,8,1
DS-13180,43441,20,144.09064,8,8,3
DV-13045,43445,9,124.387,8,2,2
DV-13465,43435,13,250.3451538,7,5,6
DW-13195,43395,9,120.0834444,5,2,2
DW-13480,43247,11,479.2389091,2,4,9
DW-13540,43366,9,38.23111111,4,2,0
DW-13585,43222,10,120.4854,1,3,2
EA-14035,43312,22,125.1109545,2,9,2
EB-13705,43416,12,303.7481667,6,5,7
EB-13750,43429,20,161.8157,7,8,4
EB-13840,43374,7,137.7782857,4,1,3
EB-13870,43364,11,251.5653636,4,4,6
EB-13930,43303,7,134.9428571,2,1,3
EB-13975,43464,6,273.8758333,9,1,7
EB-14110,43351,11,279.1932727,3,4,7
EB-14170,43382,7,169.4751429,4,1,4
EC-14050,43411,7,65.98771429,6,1,0
ED-13885,43329,14,248.9228571,3,6,6
EG-13900,43442,9,203.5577778,8,2,5
EH-13765,43329,27,368.1622222,3,9,8
EH-13945,43247,17,40.24535294,2,7,0
EH-13990,43059,8,103.24375,1,2,2
EH-14005,43462,11,110.8663636,9,4,2
EH-14125,43312,18,171.2585,2,8,4
EH-14185,43359,8,115.4855,3,2,2
EJ-13720,43162,8,270.27175,1,2,7
EJ-14155,43407,8,332.086375,5,2,8
EK-13795,43420,4,325.8695,6,0,8
EL-13735,43387,2,62.14,4,0,0
EM-13810,43332,7,366.7157143,3,1,8
EM-13825,43409,16,146.224875,5,7,3
EM-13960,43313,6,155.6173333,2,1,3
EM-14065,43417,6,38.165,6,1,0
EM-14095,43351,10,104.1042,3,3,2
EM-14140,43416,21,218.4969524,6,8,6
EM-14200,43306,4,91.7055,2,0,1
EN-13780,43177,9,244.374,1,2,6
EP-13915,43452,31,176.7116387,8,9,4
ER-13855,43043,5,249.1576,0,0,6
ES-14020,43424,8,438.80725,6,2,9
ES-14080,43436,20,232.8962,7,8,6
FA-14230,43367,17,175.5325882,4,7,4
FC-14245,43394,14,244.1958571,5,6,6
FC-14335,43280,10,388.9366,2,3,8
FG-14260,43430,11,125.7403636,7,4,2
FH-14275,43427,21,202.679619,6,8,5
FH-14350,43252,14,162.2345714,2,6,4
FH-14365,43459,13,537.4766154,9,5,9
FM-14215,43457,15,163.7758667,9,6,4
FM-14290,43428,20,186.8099,7,8,5
FM-14380,43319,14,180.2332857,3,6,4
FO-14305,43426,15,178.5625333,6,6,4
FP-14320,43441,14,289.0532857,8,6,7
FW-14395,43102,3,26.58333333,1,0,0
GA-14515,43315,10,379.7232,3,3,8
GA-14725,43459,22,63.56281818,9,9,0
GB-14530,43402,20,78.422,5,8,1
GB-14575,43451,16,294.768,8,7,7
GD-14590,43459,6,314.6783333,9,1,7
GG-14650,43421,24,92.66666667,6,9,1
GH-14410,43389,17,165.851,5,7,4
GH-14425,43414,10,417.2846,6,3,9
GH-14485,43077,3,453.748,1,0,9
GH-14665,43462,3,48.98026667,9,0,0
GK-14620,43352,14,464.0907143,3,6,9
GM-14440,43381,11,325.7109091,4,4,8
GM-14455,43448,12,256.552,8,5,6
GM-14500,43358,13,96.59092308,3,5,1
GM-14680,43312,11,287.6025455,2,4,7
GM-14695,43347,11,549.9969091,3,4,9
GP-14740,42700,5,47.306,0,0,0
GR-14560,42329,5,256.876,0,0,6
GT-14635,43408,6,1558.535333,5,1,9
GT-14710,43428,29,407.5903448,7,9,9
GT-14755,43430,7,32.348,7,1,0
GW-14605,43436,9,243.2243333,7,2,6
GZ-14470,43457,14,311.0821429,9,6,7
GZ-14545,43307,5,490.9244,2,0,9
HA-14905,43395,10,216.33,5,3,6
HA-14920,43444,18,143.5643333,8,8,3
HD-14785,42696,7,35.90857143,0,1,0
HE-14800,43452,8,94.43275,8,2,1
HF-14995,43443,19,133.3244211,8,8,3
HG-14845,43410,10,78.5628,5,3,1
HG-14965,43441,17,191.0377647,8,7,5
HG-15025,43458,11,335.4803636,9,4,8
HH-15010,43392,6,36.44466667,5,1,0
HJ-14875,43338,6,59.68333333,3,1,0
HK-14890,43313,15,325.1856,2,6,8
HL-15040,43421,11,1170.299818,6,4,9
HM-14860,43462,20,411.83824,9,8,9
HM-14980,43217,7,105.1822857,1,1,2
HP-14815,43434,10,199.0314,7,3,5
HR-14770,43451,5,188.1176,8,0,5
HR-14830,43305,14,374.9133571,2,6,8
HW-14935,43347,15,321.8622667,3,6,8
HZ-14950,43429,6,147.7533333,7,1,3
IG-15085,43393,7,106.3677143,5,1,2
IL-15100,43322,14,360.0525714,3,6,8
IM-15055,43055,2,24.2,1,0,0
IM-15070,43074,21,234.7844762,1,8,6
JA-15970,43372,24,270.4594167,4,9,7
JB-15400,43457,16,111.9753125,9,7,2
JB-15925,42728,8,112.569,0,2,2
JB-16000,43421,7,92.01697143,6,1,1
JB-16045,43457,9,279.7905556,9,2,7
JC-15340,43350,4,17.81575,3,0,0
JC-15385,43289,4,264.527,2,0,7
JC-15775,43306,16,173.2534375,2,7,4
JC-16105,43407,9,95.39733333,5,2,1
JD-15790,43347,7,307.4788571,3,1,7
JD-15895,43070,32,237.8395,1,9,6
JD-16015,43352,11,35.03909091,3,4,0
JD-16060,43164,6,115.907,1,1,2
JD-16150,43423,17,519.2959118,6,7,9
JE-15475,43271,13,106.8216923,2,5,2
JE-15610,43416,20,387.7488,6,8,8
JE-15715,43418,22,395.3565,6,9,8
JE-15745,43413,23,293.9484783,6,9,7
JE-16165,43444,7,385.3211429,8,1,8
JF-15190,43399,18,124.4225556,5,8,2
JF-15295,43239,14,68.22314286,2,6,0
JF-15355,43359,16,119.49025,3,7,2
JF-15415,43462,13,177.6486154,9,5,4
JF-15490,43343,14,63.63928571,3,6,0
JF-15565,43410,16,262.39575,5,7,7
JG-15115,42707,7,336.9537143,0,1,8
JG-15160,43463,18,353.6884444,9,8,8
JG-15310,43462,11,203.6890909,9,4,5
JG-15805,43241,9,167.4464444,2,2,4
JH-15430,43459,7,44.183,9,1,0
JH-15820,43290,8,66.11375,2,2,0
JH-15910,43423,9,106.6085556,6,2,2
JH-15985,43435,14,568.2141429,7,6,9
JH-16180,43060,5,451.2788,1,0,9
JJ-15445,42981,6,118.1963333,0,1,2
JJ-15760,42712,3,65,0,0,0
JK-15205,43403,12,355.191,5,5,8
JK-15325,43177,4,95.953,1,0,1
JK-15370,43420,16,133.528625,6,7,3
JK-15625,43403,12,313.3356667,5,5,7
JK-15640,43284,12,396.7028333,2,5,8
JK-15730,43380,19,251.0473684,4,8,6
JK-16090,43436,9,416.4075556,7,2,9
JK-16120,43347,17,172.4990588,3,7,4
JL-15130,43456,12,101.2463333,9,5,1
JL-15175,43458,7,224.5032857,9,1,6
JL-15235,43345,10,220.37,3,3,6
JL-15505,43415,17,186.6984706,6,7,5
JL-15835,43443,33,290.1922121,8,9,7
JL-15850,42850,11,247.7505455,0,4,6
JM-15250,43427,19,166.2695789,6,8,4
JM-15265,43427,13,138.7804615,6,5,3
JM-15535,43362,10,173.3443,4,3,4
JM-15580,43464,7,43.42114286,9,1,0
JM-15655,43456,12,72.07891667,9,5,1
JM-15865,43355,13,586.5443077,3,5,9
JM-16195,43407,19,149.154,5,8,3
JO-15145,43407,13,250.3806923,5,5,6
JO-15280,43372,11,175.8429091,4,4,4
JO-15550,43249,11,99.16709091,2,4,1
JP-15460,43427,15,111.2756667,6,6,2
JP-15520,43456,16,227.224625,9,7,6
JP-16135,43362,13,131.3623077,4,5,3
JR-15670,42871,3,385.5526667,0,0,8
JR-15700,43396,1,863.88,5,0,9
JR-16210,43431,10,220.1686,7,3,6
JS-15595,43345,8,177.20675,3,2,4
JS-15685,43422,9,110.0217778,6,2,2
JS-15880,42930,9,429.78,0,2,9
JS-15940,43001,8,58.646125,0,2,0
JS-16030,43436,18,139.8052222,7,8,3
JW-15220,43422,14,551.551,6,6,9
JW-15955,43459,10,104.9238,9,3,2
JW-16075,43003,7,204.1044286,0,1,5
KA-16525,43428,11,138.1369091,7,4,3
KB-16240,43460,10,315.2615,9,3,7
KB-16315,43168,22,71.33927273,1,9,1
KB-16405,43347,9,100.9801111,3,2,1
KB-16585,43234,23,119.3366087,1,9,2
KB-16600,43463,9,109.3246667,9,2,2
KC-16255,43057,10,212.0954,1,3,5
KC-16540,43367,5,781.6524,4,0,9
KC-16675,43407,7,163.7214286,5,1,4
KD-16270,42980,16,517.647375,0,7,9
KD-16345,43423,10,188.8964,6,3,5
KD-16495,43352,28,292.1877143,3,9,7
KD-16615,43175,7,129.594,1,1,3
KE-16420,43438,12,121.1067667,7,5,2
KF-16285,43367,18,589.1258889,4,8,9
KH-16330,43424,18,184.048,6,8,5
KH-16360,43463,14,221.4722857,9,6,6
KH-16510,43442,20,261.48475,8,8,7
KH-16630,43406,17,230.5274118,5,7,6
KH-16690,43462,15,399.3866,9,6,8
KL-16555,43448,22,228.0221818,8,9,6
KL-16645,43417,29,488.801,6,9,9
KM-16225,43450,19,118.9977895,8,8,2
KM-16375,43408,20,281.0093,5,8,7
KM-16660,43449,9,50.39311111,8,2,0
KM-16720,43436,28,175.3382857,7,9,4
KN-16390,43445,15,148.2724,8,6,3
KN-16450,43412,8,271.49525,6,2,7
KN-16705,43366,12,166.9175,4,5,4
KS-16300,43169,4,22.118,1,0,0
KT-16465,43073,14,218.3642857,1,6,6
KT-16480,43364,13,357.0837231,4,5,8
KW-16435,43368,10,441.652,4,3,9
KW-16570,42694,5,89.8192,0,0,1
LA-16780,43310,26,333.5854615,2,9,8
LB-16735,43416,3,16.72933333,6,0,0
LB-16795,43312,23,204.5349565,2,9,5
LC-16870,43437,30,86.02346667,7,9,1
LC-16885,43448,23,333.1793913,8,9,8
LC-16930,43423,14,320.9247143,6,6,8
LC-16960,43028,7,463.8037143,0,1,9
LC-17050,43410,9,232.7848889,5,2,6
LC-17140,43451,19,138.6095789,8,8,3
LD-16855,42912,1,5.304,0,0,0
LD-17005,43050,7,280.2762857,0,1,7
LE-16810,43443,9,163.2722222,8,2,4
LF-17185,43442,16,245.6568125,8,7,6
LH-16750,43313,3,95.80866667,2,0,1
LH-16900,43443,15,153.0221333,8,6,3
LH-17020,43225,6,53.03983333,1,1,0
LH-17155,43079,19,91.56257895,1,8,1
LL-16840,43215,10,245.4554,1,3,6
LM-17065,43073,7,192.3962857,1,1,5
LO-17170,43462,9,71.59444444,9,2,1
LP-17080,43424,9,84.06733333,6,2,1
LP-17095,43455,13,238.803,9,5,6
LR-16915,43438,16,321.43075,7,7,8
LR-17035,43332,12,156.6088333,3,5,4
LS-16945,43286,14,203.2335714,2,6,5
LS-16975,43444,22,135.8488182,8,9,3
LS-17200,43368,14,72.16114286,4,6,1
LS-17230,42688,6,61.48,0,1,0
LS-17245,43430,12,84.01133333,7,5,1
LT-16765,43438,3,109.9586667,7,0,2
LT-17110,43430,14,209.7322857,7,6,5
LW-16825,43376,15,149.2040667,4,6,3
LW-16990,43431,11,293.6643636,7,4,7
LW-17125,43259,5,251.808,2,0,6
LW-17215,43443,15,361.3676,8,6,8
MA-17560,43400,34,126.4459118,5,9,2
MA-17995,43278,12,204.4403333,2,5,5
MB-17305,43416,19,81.51063158,6,8,1
MB-18085,43420,10,142.8231,6,3,3
MC-17275,43388,13,209.6909231,4,5,5
MC-17425,43065,10,443.2138,1,3,9
MC-17575,43437,11,118.5357273,7,4,2
MC-17590,43413,17,142.7098235,6,7,3
MC-17605,43352,18,125.4551111,3,8,2
MC-17635,43275,8,99.39425,2,2,1
MC-17845,43463,14,271.8367143,9,6,7
MC-18100,43423,19,116.7884211,6,8,2
MC-18130,43095,11,143.818,1,4,3
MD-17350,43347,15,181.0941333,3,6,4
MD-17860,43428,8,150.61375,7,2,3
ME-17320,43422,22,484.7149091,6,9,9
ME-17725,43436,13,146.8040923,7,5,3
ME-18010,43372,6,209.4906667,4,1,5
MF-17665,43043,8,117.129875,0,2,2
MF-18250,43457,12,146.525,9,5,3
MG-17650,43435,14,270.3768571,7,6,7
MG-17680,43372,10,235.0188,4,3,6
MG-17695,42909,7,191.7545714,0,1,5
MG-17875,43348,7,177.5475714,3,1,4
MG-17890,43365,13,59.72184615,4,5,0
MG-18145,43380,8,382.692875,4,2,8
MG-18205,43200,2,8.3695,1,0,0
MH-17290,43170,10,169.1505,1,3,4
MH-17440,43088,9,44.44622222,1,2,0
MH-17455,43294,9,238.5215556,2,2,6
MH-17620,43309,6,208.8,2,1,5
MH-17785,43366,11,200.3434545,4,4,5
MH-18025,43415,10,298.4948,6,3,7
MH-18115,43459,22,250.1405909,9,9,6
MJ-17740,43442,15,421.3830667,8,6,9
MK-17905,43436,17,135.4334118,7,7,3
MK-18160,43224,11,93.782,1,4,1
ML-17395,43395,20,136.14215,5,8,3
ML-17410,43410,14,206.09,5,6,5
ML-17755,43435,13,159.378,7,5,4
ML-18040,43385,4,185.5205,4,0,5
ML-18265,43364,3,54.07733333,4,0,0
MM-17260,43296,6,219.0038333,2,1,6
MM-17920,43457,15,242.6837333,9,6,6
MM-18055,43403,19,144.7305789,5,8,3
MM-18280,43379,12,64.61783333,4,5,0
MN-17935,43430,10,247.7946,7,3,6
MO-17500,43392,5,184.4974,5,0,5
MO-17800,43360,11,153.3660909,3,4,3
MO-17950,43284,4,38.572,2,0,0
MP-17470,42746,12,245.4851667,0,5,6
MP-17965,43392,20,199.1821,5,8,5
MP-18175,43448,18,264.2962222,8,8,7
MR-17545,43339,6,106.5296667,3,1,2
MS-17365,43191,24,310.15375,1,9,7
MS-17530,43030,7,67.95085714,0,1,0
MS-17710,43051,15,107.5601333,0,6,2
MS-17770,43343,19,165.5093684,3,8,4
MS-17830,43012,5,74.0696,0,0,1
MS-17980,43438,11,77.73781818,7,4,1
MT-17815,43415,10,289.0139,6,3,7
MT-18070,43261,11,119.9499818,2,4,2
MV-17485,43437,15,104.0033333,7,6,2
MV-18190,43445,11,157.6885455,8,4,4
MW-18220,43447,14,381.5642857,8,6,8
MW-18235,43420,3,1751.292,6,0,9
MY-17380,43435,13,173.4065385,7,5,4
MY-18295,43393,19,189.5726316,5,8,5
MZ-17335,43434,6,98.93433333,7,1,1
MZ-17515,43182,10,256.4906,1,3,6
NB-18580,42299,2,136.936,0,0,3
NB-18655,43445,17,116.0352353,8,7,2
NC-18340,43240,17,144.7884706,2,7,3
NC-18415,43423,14,158.4992857,6,6,4
NC-18535,43458,15,549.4492667,9,6,9
NC-18625,43260,9,202.4157778,2,2,5
ND-18370,43437,18,240.3410556,7,8,6
ND-18460,43281,8,361.681875,2,2,8
NF-18385,43385,13,621.5749231,4,5,9
NF-18475,42939,4,94.2905,0,0,1
NF-18595,43350,12,169.2893333,3,5,4
NG-18355,43416,16,116.84875,6,7,2
NG-18430,43416,9,155.1042222,6,2,3
NH-18610,43275,9,279.8517778,2,2,7
NK-18490,43394,11,52.00436364,5,4,0
NL-18310,43406,10,141.809,5,3,3
NM-18445,43304,14,461.3817143,2,6,9
NM-18520,43220,15,144.1319333,1,6,3
NP-18325,43439,21,263.3152381,8,8,7
NP-18670,43406,10,390.8402,5,3,8
NP-18685,43058,6,194.1216667,1,1,5
NP-18700,43326,13,607.9371154,3,5,9
NR-18550,43254,13,182.0982308,2,5,4
NS-18505,43458,15,171.7242,9,6,4
NS-18640,43290,23,124.2501304,2,9,2
NW-18400,43292,22,328.8188182,2,9,8
NZ-18565,43379,20,124.4155,4,8,2
ON-18715,43054,15,104.5013333,0,6,2
OT-18730,43399,10,381.8624,5,3,8
PA-19060,43361,7,104.2011429,4,1,2
PB-18805,43439,10,74.0356,8,3,1
PB-19105,43407,5,137.6648,5,0,3
PB-19150,43367,11,132.45,4,4,3
PB-19210,42777,2,66.369,0,0,0
PC-18745,43462,5,366.4128,9,0,8
PC-19000,42583,3,353.8293333,0,0,8
PF-19120,42630,19,476.9928421,0,8,9
PF-19165,43268,10,277,2,3,7
PF-19225,43350,10,220.6128,3,3,6
PG-18820,43428,26,118.7271923,7,9,2
PG-18895,43407,17,116.892,5,7,2
PH-18790,43394,2,364.824,5,0,8
PJ-18835,43425,13,93.85307692,6,5,1
PJ-19015,43330,7,239.648,3,1,6
PK-18910,42981,3,480.384,0,0,9
PK-19075,43455,25,345.87736,9,9,8
PL-18925,43449,8,29.935125,8,2,0
PM-18940,43078,4,351.3505,1,0,8
PM-19135,43413,7,587.9517143,6,1,9
PN-18775,43434,13,112.8578462,7,5,2
PO-18850,43460,22,339.7194636,9,9,8
PO-18865,43464,13,191.7856923,9,5,5
PO-19180,43304,18,271.8357222,2,8,7
PO-19195,43378,10,105.6858,4,3,2
PP-18955,43367,34,213.312,4,9,5
PR-18880,43428,12,153.3481667,7,5,3
PS-18760,43357,21,103.8799524,3,8,2
PS-18970,43395,13,98.35684615,5,5,1
PS-19045,43228,13,526.4333846,1,5,9
PT-19090,43393,6,26.41,5,1,0
PV-18985,43375,13,221.2343077,4,5,6
PW-19030,43418,13,265.7627692,6,5,7
PW-19240,43000,12,326.8679167,0,5,8
QJ-19255,43439,13,469.8721538,8,5,9
RA-19285,43459,17,153.9944706,9,7,3
RA-19885,43409,13,272.7864615,5,5,7
